7zip 25.01-5.fc44
hypervvssd 6.10-3.fc44
hyphen 2.8.8-28.fc44
hyphen-en 2.8.8-28.fc44
i2c-tools 4.4-4.fc44
ibus 1.5.34~rc1-4.fc44
ibus-anthy 1.5.18-1.fc44
ibus-anthy-python 1.5.18-1.fc44
ibus-chewing 2.1.7-2.fc44
ibus-gtk3 1.5.34~rc1-4.fc44
ibus-gtk4 1.5.34~rc1-4.fc44
ibus-hangul 1.5.5-12.fc44
ibus-libpinyin 1.16.5-3.fc44
ibus-libs 1.5.34~rc1-4.fc44
ibus-m17n 1.4.38-1.fc44
ibus-panel 1.5.34~rc1-4.fc44
ibus-setup 1.5.34~rc1-4.fc44
ibus-table 1.17.16-2.fc44
ibus-table-chinese 1.8.14-3.fc44
ibus-table-chinese-cangjie 1.8.14-3.fc44
ibus-typing-booster 2.30.4-1.fc44
iio-sensor-proxy 3.8-2.fc44
ilbc 3.0.4-19.fc44
ima-evm-utils-libs 1.6.2-8.fc44
ImageMagick 7.1.2.13-2.fc44
ImageMagick-libs 7.1.2.13-2.fc44
imath 3.1.12-6.fc44
im-chooser 1.7.6-1.fc44
im-chooser-common 1.7.6-1.fc44
imsettings 1.8.11-2.fc44
imsettings-gsettings 1.8.11-2.fc44
imsettings-libs 1.8.11-2.fc44
imsettings-plasma 1.8.11-2.fc44
incidenceeditor 25.12.3-1.fc44
inih 62-2.fc44
inih-cpp 62-2.fc44
iniparser 4.2.6-4.fc44
initscripts-service 10.27-2.fc44
intel-audio-firmware 20260309-1.fc44
intel-gmmlib 22.10.0-1.fc44
intel-gpu-firmware 20260309-1.fc44
intel-lpmd 0.0.9-3.fc44
intel-mediasdk 23.2.2-10.fc44
intel-vpl-gpu-rt 26.1.0-1.fc44
intel-vsc-firmware 20260309-1.fc44
ipp-usb 0.9.31-2.fc44
iproute 6.17.0-2.fc44
ipset 7.24-3.fc44
ipset-libs 7.24-3.fc44
iptables-libs 1.8.11-13.fc44
iptables-nft 1.8.11-13.fc44
iptstate 2.2.7-11.fc44
iputils 20250605-2.fc44
irqbalance 1.9.5-2.fc44
iscsi-initiator-utils 6.2.1.11-0.git4b3e853.fc44.3
iscsi-initiator-utils-iscsiuio 6.2.1.11-0.git4b3e853.fc44.3
isns-utils-libs 0.103-4.fc44
iso-codes 4.20.1-3.fc44
isomd5sum 1.2.5-6.fc44
iw 6.17-2.fc44
iwlegacy-firmware 20260309-1.fc44
iwlwifi-dvm-firmware 20260309-1.fc44
iwlwifi-mld-firmware 20260309-1.fc44
iwlwifi-mvm-firmware 20260309-1.fc44
jansson 2.14-4.fc44
jasper-libs 4.2.8-2.fc44
java-25-openjdk-crypto-adapter 25.0.2.0.10-3.fc44
java-25-openjdk-headless 25.0.2.0.10-3.fc44
javapackages-filesystem 6.4.1-10.fc44
jbig2dec-libs 0.20-8.fc44
jbigkit-libs 2.1-33.fc44
jfsutils 1.1.15-32.fc44
jomolhari-fonts 0.003-45.fc44
jose 14-6.fc44
jq 1.8.1-2.fc44
json-c 0.18-8.fc44
jsoncpp 1.9.6-3.fc44
json-glib 1.10.8-5.fc44
jxrlib 1.1-33.fc44
kaccounts-integration-qt6 25.12.3-1.fc44
